name,latitude,longitude
Art: 1 New Museum,-6.14695017338058,106.840289461744
Bayt Al-Qur'an dan Museum Istiqlal,-6.30279849857787,106.88786250716
Galeri Foto Jurnalistik Antara,-6.16589749973965,106.833966529085
Galeri Nasional Indonesia,-6.17854995199078,106.832771918672
Monumen Nasional,-6.17539354823125,106.827151981719
Monumen Pancasila Sakti,-6.29031711936196,106.908596470792
Museum Alkitab,-6.19631016164138,106.849993043258
Museum Al-Qur'an,-6.29104994081839,106.771567493006
Museum Anatomi Universitas Katolik (Unika) Atmajaya,-6.12520036903294,106.793359599637
Museum Asmat,-6.30731734365416,106.894176875479
Museum Bahari,-6.12753979287046,106.809071555342
Museum Bank Indonesia,-6.13713362622781,106.813001227289
Museum Bank Tabungan Negara,-6.1671849290242,106.820300697745
Museum Basoeki Abdullah,-6.28977783119394,106.79325736891
Museum Benda-Benda Alkitab Yerushalayim,-6.14167426657902,106.901586885387
Museum BNI 1946,-6.13582324729973,106.814334157414
Museum Ciputra Artpreneur,-6.22410487840073,106.823896796891
Museum Dharma Bhakti Kostrad,-6.17384745080701,106.830425628578
Museum di Tengah Kebun,-6.26751500726283,106.824082554965
Museum DPR RI,-6.21044373313573,106.799762674783
Museum Fauna Indonesia 'Komodo' dan Taman Reptilia,-6.30366017760241,106.901011732748
Museum of Health and Medicine,-6.19515659201314,106.848372493646
Museum Graha Widya Patra (Minyak dan Gas Bumi),-6.3022461276546,106.904965122621
Museum Hakka Indonesia,-6.30518787891886,106.903966692444
Museum Harry Darsono,-6.28893950558108,106.801979083568
Museum Indonesia,-6.30104916307919,106.891443741804
Museum Jenderal Besar Dr. A.H. Nasution,-6.19296020571382,106.83266425206
Museum Joang '45,-6.18619503508512,106.836435641482
Museum Katedral,-6.16885829072755,106.833384368969
Museum Kebangkitan Nasional,-6.17835191873556,106.838093327206
Museum Kehutanan 'Ir. Djamaludin Suryohadikusumo',-6.20721571624718,106.798868008332
Museum Keprajuritan,-6.3059455575344,106.896853990311
Museum Korps Marinir Jakarta,-6.17418223302207,106.837983599832
Museum Layang-layang,-6.30802872504027,106.790547867261
Museum Listrik dan Energi Baru,-6.30337267965868,106.904984756408
Museum MACAN (Modern and Contemporary Art in Nusantara),-6.19090144672396,106.767619478826
Museum Mandiri,-6.1384499467172,106.813304814824
Museum MH. Thamrin,-6.19355188326362,106.845361534268
Museum Nasional Indonesia,-6.17640183465515,106.82158989228
Museum Olahraga Nasional,-6.3042946731385,106.889043716397
Museum Pemadam Kebakaran,-6.29941606354961,106.898754728193
Museum Penerangan,-6.29918905557902,106.893533180448
Museum Perumusan Naskah Proklamasi,-6.20037495844248,106.831007610052
Museum POLRI,-6.2393418780699,106.802767930427
Museum Prangko,-6.30418456771596,106.901771712265
Museum Prasasti,-6.17222481141279,106.818969026294
Museum Purna Bhakti Pertiwi,-6.30034768893479,106.886440970062
Museum Pusaka,-6.30521410272485,106.895890330579
Museum Santa Maria Juanda,-6.1669512894793,106.825027430422
Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,-6.20462964280586,106.836532665913
Museum Satriamandala,-6.23169896306931,106.818542763548
Museum Sejarah Jakarta,-6.13520026432625,106.813300112346
Museum Seni Rupa dan Keramik,-6.13421820441045,106.814692926147
Museum Serangga,-6.30574271489993,106.895463878659
Museum Sumpah Pemuda,-6.18379952050197,106.843107171156
Museum Tekstil,-6.18796452926196,106.809607366134
Museum Timor Timur,-6.30331509392487,106.901455628741
Museum Tragedi 12 Mei â€™98 Universitas Trisakti,-6.16770993445603,106.790507381953
Museum Transportasi,-6.30491375819847,106.898943393602
Museum Wayang,-6.13490616619183,106.812444552537
Pusat Peragaan IPTEK,-6.30221876193348,106.903572353956
