name,schedule_name_1,open_1,closed_1,schedule_1
Art: 1 New Museum,,10:00,20:00,Selasa
Art: 1 New Museum,,10:00,20:00,Rabu
Art: 1 New Museum,,10:00,20:00,Kamis
Art: 1 New Museum,,10:00,20:00,Jumat
Art: 1 New Museum,,10:00,20:00,Sabtu
Bayt Al-Qur’an dan Museum Istiqlal,,08:30,15:00,Selasa
Bayt Al-Qur’an dan Museum Istiqlal,,08:30,15:00,Rabu
Bayt Al-Qur’an dan Museum Istiqlal,,08:30,15:00,Kamis
Bayt Al-Qur’an dan Museum Istiqlal,,08:30,15:00,Jumat
Bayt Al-Qur’an dan Museum Istiqlal,,08:30,15:00,Sabtu
Bayt Al-Qur’an dan Museum Istiqlal,,08:30,15:00,Minggu
Galeri Foto Jurnalistik Antara,,10:00,20:00,Selasa
Galeri Foto Jurnalistik Antara,,10:00,20:00,Rabu
Galeri Foto Jurnalistik Antara,,10:00,20:00,Kamis
Galeri Foto Jurnalistik Antara,,10:00,20:00,Jumat
Galeri Foto Jurnalistik Antara,,10:00,20:00,Sabtu
Galeri Foto Jurnalistik Antara,,10:00,20:00,Minggu
Galeri Nasional Indonesia,Pameran Tetap,09:00,16:00,Selasa
Galeri Nasional Indonesia,Pameran Tetap,09:00,16:00,Rabu
Galeri Nasional Indonesia,Pameran Tetap,09:00,16:00,Kamis
Galeri Nasional Indonesia,Pameran Tetap,09:00,16:00,Jumat
Monumen Nasional,Pelataran Puncak Sesi 1,08:00,16:00,Selasa
Monumen Nasional,Pelataran Puncak Sesi 1,08:00,16:00,Rabu
Monumen Nasional,Pelataran Puncak Sesi 1,08:00,16:00,Kamis
Monumen Nasional,Pelataran Puncak Sesi 1,08:00,16:00,Jumat
Monumen Nasional,Pelataran Puncak Sesi 1,08:00,16:00,Sabtu
Monumen Nasional,Pelataran Puncak Sesi 1,08:00,16:00,Minggu
Monumen Pancasila Sakti,,08:00,16:00,Selasa
Monumen Pancasila Sakti,,08:00,16:00,Rabu
Monumen Pancasila Sakti,,08:00,16:00,Kamis
Monumen Pancasila Sakti,,08:00,16:00,Jumat
Monumen Pancasila Sakti,,08:00,16:00,Sabtu
Monumen Pancasila Sakti,,08:00,16:00,Minggu
Museum Alkitab,,08:00,16:00,Senin
Museum Alkitab,,08:00,16:00,Selasa
Museum Alkitab,,08:00,16:00,Rabu
Museum Alkitab,,08:00,16:00,Kamis
Museum Alkitab,,08:00,16:00,Jumat
Museum Al-Qur’an,,08:00,15:00,Senin
Museum Al-Qur’an,,08:00,15:00,Selasa
Museum Al-Qur’an,,08:00,15:00,Rabu
Museum Al-Qur’an,,08:00,15:00,Kamis
Museum Al-Qur’an,,08:00,15:00,Jumat
Museum Anatomi Universitas Katolik (Unika) Atmajaya,,08:00,15:00,Senin
Museum Anatomi Universitas Katolik (Unika) Atmajaya,,08:00,15:00,Selasa
Museum Anatomi Universitas Katolik (Unika) Atmajaya,,08:00,15:00,Rabu
Museum Anatomi Universitas Katolik (Unika) Atmajaya,,08:00,15:00,Kamis
Museum Anatomi Universitas Katolik (Unika) Atmajaya,,08:00,15:00,Jumat
Museum Asmat,,08:30,16:00,Senin
Museum Asmat,,08:30,16:00,Selasa
Museum Asmat,,08:30,16:00,Rabu
Museum Asmat,,08:30,16:00,Kamis
Museum Asmat,,08:30,16:00,Jumat
Museum Asmat,,08:30,16:00,Sabtu
Museum Asmat,,08:30,16:00,Minggu
Museum Bahari,,08:00,17:00,Selasa
Museum Bahari,,08:00,17:00,Rabu
Museum Bahari,,08:00,17:00,Kamis
Museum Bahari,,08:00,17:00,Jumat
Museum Bahari,,08:00,17:00,Sabtu
Museum Bahari,,08:00,17:00,Minggu
Museum Bank Indonesia,,08:00,15:30,Senin
Museum Bank Indonesia,,08:00,15:30,Selasa
Museum Bank Indonesia,,08:00,15:30,Rabu
Museum Bank Indonesia,,08:00,15:30,Kamis
Museum Bank Indonesia,,08:00,15:30,Jumat
Museum Bank Tabungan Negara,,08:00,16:30,Senin
Museum Bank Tabungan Negara,,08:00,16:30,Selasa
Museum Bank Tabungan Negara,,08:00,16:30,Rabu
Museum Bank Tabungan Negara,,08:00,16:30,Kamis
Museum Bank Tabungan Negara,,08:00,16:30,Jumat
Museum Basoeki Abdullah,,08:00,16:00,Selasa
Museum Basoeki Abdullah,,08:00,16:00,Rabu
Museum Basoeki Abdullah,,08:00,16:00,Kamis
Museum Basoeki Abdullah,,08:00,16:00,Jumat
Museum Benda-Benda Alkitab Yerushalayim,,09:00,16:00,Senin
Museum Benda-Benda Alkitab Yerushalayim,,09:00,16:00,Selasa
Museum Benda-Benda Alkitab Yerushalayim,,09:00,16:00,Rabu
Museum Benda-Benda Alkitab Yerushalayim,,09:00,16:00,Kamis
Museum Benda-Benda Alkitab Yerushalayim,,09:00,16:00,Jumat
Museum BNI 1946,Reservasi,,,nan
Museum Ciputra Artpreneur,,12:00,18:00,Selasa
Museum Ciputra Artpreneur,,12:00,18:00,Rabu
Museum Ciputra Artpreneur,,12:00,18:00,Kamis
Museum Ciputra Artpreneur,,12:00,18:00,Jumat
Museum Ciputra Artpreneur,,12:00,18:00,Sabtu
Museum Ciputra Artpreneur,,12:00,18:00,Minggu
Museum Dharma Bhakti Kostrad,,08:00,16:00,Senin
Museum Dharma Bhakti Kostrad,,08:00,16:00,Selasa
Museum Dharma Bhakti Kostrad,,08:00,16:00,Rabu
Museum Dharma Bhakti Kostrad,,08:00,16:00,Kamis
Museum Dharma Bhakti Kostrad,,08:00,16:00,Jumat
Museum di Tengah Kebun,,09:30,15:00,Sabtu
Museum di Tengah Kebun,,09:30,15:00,Minggu
Museum DPR RI,,08:00,15:00,Senin
Museum DPR RI,,08:00,15:00,Selasa
Museum DPR RI,,08:00,15:00,Rabu
Museum DPR RI,,08:00,15:00,Kamis
Museum Fauna Indonesia “Komodo” dan Taman Reptilia,,08:30,16:00,Senin
Museum Fauna Indonesia “Komodo” dan Taman Reptilia,,08:30,16:00,Selasa
Museum Fauna Indonesia “Komodo” dan Taman Reptilia,,08:30,16:00,Rabu
Museum Fauna Indonesia “Komodo” dan Taman Reptilia,,08:30,16:00,Kamis
Museum Fauna Indonesia “Komodo” dan Taman Reptilia,,08:30,16:00,Jumat
Museum of Health and Medicine,,09:00,17:00,Selasa
Museum of Health and Medicine,,09:00,17:00,Rabu
Museum of Health and Medicine,,09:00,17:00,Kamis
Museum of Health and Medicine,,09:00,17:00,Jumat
Museum Graha Widya Patra (Minyak dan Gas Bumi),,08:00,16:00,Senin
Museum Graha Widya Patra (Minyak dan Gas Bumi),,08:00,16:00,Selasa
Museum Graha Widya Patra (Minyak dan Gas Bumi),,08:00,16:00,Rabu
Museum Graha Widya Patra (Minyak dan Gas Bumi),,08:00,16:00,Kamis
Museum Graha Widya Patra (Minyak dan Gas Bumi),,08:00,16:00,Jumat
Museum Graha Widya Patra (Minyak dan Gas Bumi),,08:00,16:00,Sabtu
Museum Graha Widya Patra (Minyak dan Gas Bumi),,08:00,16:00,Minggu
Museum Hakka Indonesia,,09:00,16:00,Selasa
Museum Hakka Indonesia,,09:00,16:00,Rabu
Museum Hakka Indonesia,,09:00,16:00,Kamis
Museum Hakka Indonesia,,09:00,16:00,Jumat
Museum Hakka Indonesia,,09:00,16:00,Sabtu
Museum Hakka Indonesia,,09:00,16:00,Minggu
Museum Harry Darsono,Reservasi Dua Minggu Sebelum Kunjungan,09:00,15:00,Senin
Museum Harry Darsono,Reservasi Dua Minggu Sebelum Kunjungan,09:00,15:00,Selasa
Museum Harry Darsono,Reservasi Dua Minggu Sebelum Kunjungan,09:00,15:00,Rabu
Museum Harry Darsono,Reservasi Dua Minggu Sebelum Kunjungan,09:00,15:00,Kamis
Museum Harry Darsono,Reservasi Dua Minggu Sebelum Kunjungan,09:00,15:00,Jumat
Museum Harry Darsono,Reservasi Dua Minggu Sebelum Kunjungan,09:00,15:00,Sabtu
Museum Indonesia,,09:00,16:00,Senin
Museum Indonesia,,09:00,16:00,Selasa
Museum Indonesia,,09:00,16:00,Rabu
Museum Indonesia,,09:00,16:00,Kamis
Museum Indonesia,,09:00,16:00,Jumat
Museum Indonesia,,09:00,16:00,Sabtu
Museum Indonesia,,09:00,16:00,Minggu
Museum Jenderal Besar Dr. A.H. Nasution,,08:00,14:00,Selasa
Museum Jenderal Besar Dr. A.H. Nasution,,08:00,14:00,Rabu
Museum Jenderal Besar Dr. A.H. Nasution,,08:00,14:00,Kamis
Museum Jenderal Besar Dr. A.H. Nasution,,08:00,14:00,Jumat
Museum Jenderal Besar Dr. A.H. Nasution,,08:00,14:00,Sabtu
Museum Jenderal Besar Dr. A.H. Nasution,,08:00,14:00,Minggu
Museum Joang ‘45,,08:00,16:00,Selasa
Museum Joang ‘45,,08:00,16:00,Rabu
Museum Joang ‘45,,08:00,16:00,Kamis
Museum Joang ‘45,,08:00,16:00,Jumat
Museum Joang ‘45,,08:00,16:00,Sabtu
Museum Joang ‘45,,08:00,16:00,Minggu
Museum Katedral,,10:00,16:00,Senin
Museum Katedral,,10:00,16:00,Selasa
Museum Katedral,,10:00,16:00,Rabu
Museum Katedral,,10:00,16:00,Kamis
Museum Katedral,,10:00,16:00,Sabtu
Museum Kebangkitan Nasional,,08:00,16:00,Selasa
Museum Kebangkitan Nasional,,08:00,16:00,Rabu
Museum Kebangkitan Nasional,,08:00,16:00,Kamis
Museum Kebangkitan Nasional,,08:00,16:00,Jumat
Museum Kebangkitan Nasional,,08:00,16:00,Sabtu
Museum Kebangkitan Nasional,,08:00,16:00,Minggu
Museum Kehutanan “Ir. Djamaludin Suryohadikusumo”,,09:00,15:00,Senin
Museum Kehutanan “Ir. Djamaludin Suryohadikusumo”,,09:00,15:00,Selasa
Museum Kehutanan “Ir. Djamaludin Suryohadikusumo”,,09:00,15:00,Rabu
Museum Kehutanan “Ir. Djamaludin Suryohadikusumo”,,09:00,15:00,Kamis
Museum Keprajuritan,,09:00,15:30,Selasa
Museum Keprajuritan,,09:00,15:30,Rabu
Museum Keprajuritan,,09:00,15:30,Kamis
Museum Keprajuritan,,09:00,15:30,Jumat
Museum Keprajuritan,,09:00,15:30,Sabtu
Museum Keprajuritan,,09:00,15:30,Minggu
Museum Korps Marinir Jakarta,,07:00,15:30,Senin
Museum Korps Marinir Jakarta,,07:00,15:30,Selasa
Museum Korps Marinir Jakarta,,07:00,15:30,Rabu
Museum Korps Marinir Jakarta,,07:00,15:30,Kamis
Museum Korps Marinir Jakarta,,07:00,15:30,Jumat
Museum Layang-layang,,09:00,16:00,Senin
Museum Layang-layang,,09:00,16:00,Selasa
Museum Layang-layang,,09:00,16:00,Rabu
Museum Layang-layang,,09:00,16:00,Kamis
Museum Layang-layang,,09:00,16:00,Jumat
Museum Layang-layang,,09:00,16:00,Sabtu
Museum Layang-layang,,09:00,16:00,Minggu
Museum Listrik dan Energi Baru,,08:00,16:00,Senin
Museum Listrik dan Energi Baru,,08:00,16:00,Selasa
Museum Listrik dan Energi Baru,,08:00,16:00,Rabu
Museum Listrik dan Energi Baru,,08:00,16:00,Kamis
Museum Listrik dan Energi Baru,,08:00,16:00,Jumat
Museum Listrik dan Energi Baru,,08:00,16:00,Sabtu
Museum Listrik dan Energi Baru,,08:00,16:00,Minggu
Museum MACAN (Modern and Contemporary Art in Nusantara),,10:00,19:00,Selasa
Museum MACAN (Modern and Contemporary Art in Nusantara),,10:00,19:00,Rabu
Museum MACAN (Modern and Contemporary Art in Nusantara),,10:00,19:00,Kamis
Museum MACAN (Modern and Contemporary Art in Nusantara),,10:00,19:00,Jumat
Museum MACAN (Modern and Contemporary Art in Nusantara),,10:00,19:00,Sabtu
Museum MACAN (Modern and Contemporary Art in Nusantara),,10:00,19:00,Minggu
Museum Mandiri,,09:00,15:30,Selasa
Museum Mandiri,,09:00,15:30,Rabu
Museum Mandiri,,09:00,15:30,Kamis
Museum Mandiri,,09:00,15:30,Jumat
Museum Mandiri,,09:00,15:30,Sabtu
Museum Mandiri,,09:00,15:30,Minggu
Museum MH. Thamrin,,09:00,15:00,Selasa
Museum MH. Thamrin,,09:00,15:00,Rabu
Museum MH. Thamrin,,09:00,15:00,Kamis
Museum MH. Thamrin,,09:00,15:00,Jumat
Museum MH. Thamrin,,09:00,15:00,Minggu
Museum Nasional Indonesia,,08:00,16:00,Selasa
Museum Nasional Indonesia,,08:00,16:00,Rabu
Museum Nasional Indonesia,,08:00,16:00,Kamis
Museum Nasional Indonesia,,08:00,16:00,Jumat
Museum Olahraga Nasional,,09:00,16:00,Selasa
Museum Olahraga Nasional,,09:00,16:00,Rabu
Museum Olahraga Nasional,,09:00,16:00,Kamis
Museum Olahraga Nasional,,09:00,16:00,Jumat
Museum Olahraga Nasional,,09:00,16:00,Sabtu
Museum Olahraga Nasional,,09:00,16:00,Minggu
Museum Pemadam Kebakaran,,08:00,16:00,Rabu
Museum Pemadam Kebakaran,,08:00,16:00,Kamis
Museum Pemadam Kebakaran,,08:00,16:00,Jumat
Museum Pemadam Kebakaran,,08:00,16:00,Sabtu
Museum Pemadam Kebakaran,,08:00,16:00,Minggu
Museum Penerangan,,08:00,16:00,Senin
Museum Penerangan,,08:00,16:00,Selasa
Museum Penerangan,,08:00,16:00,Rabu
Museum Penerangan,,08:00,16:00,Kamis
Museum Penerangan,,08:00,16:00,Jumat
Museum Penerangan,,08:00,16:00,Sabtu
Museum Penerangan,,08:00,16:00,Minggu
Museum Perumusan Naskah Proklamasi,,08:00,16:00,Selasa
Museum Perumusan Naskah Proklamasi,,08:00,16:00,Rabu
Museum Perumusan Naskah Proklamasi,,08:00,16:00,Kamis
Museum Perumusan Naskah Proklamasi,,08:00,16:00,Sabtu
Museum Perumusan Naskah Proklamasi,,08:00,16:00,Minggu
Museum POLRI,,08:00,15:00,Selasa
Museum POLRI,,08:00,15:00,Rabu
Museum POLRI,,08:00,15:00,Kamis
Museum POLRI,,08:00,15:00,Jumat
Museum POLRI,,08:00,15:00,Sabtu
Museum POLRI,,08:00,15:00,Minggu
Museum Prangko,,08:00,16:00,Senin
Museum Prangko,,08:00,16:00,Selasa
Museum Prangko,,08:00,16:00,Rabu
Museum Prangko,,08:00,16:00,Kamis
Museum Prangko,,08:00,16:00,Jumat
Museum Prasasti,,09:00,15:00,Selasa
Museum Prasasti,,09:00,15:00,Rabu
Museum Prasasti,,09:00,15:00,Kamis
Museum Prasasti,,09:00,15:00,Jumat
Museum Prasasti,,09:00,15:00,Sabtu
Museum Prasasti,,09:00,15:00,Minggu
Museum Purna Bhakti Pertiwi,,09:00,16:00,Selasa
Museum Purna Bhakti Pertiwi,,09:00,16:00,Rabu
Museum Purna Bhakti Pertiwi,,09:00,16:00,Kamis
Museum Purna Bhakti Pertiwi,,09:00,16:00,Jumat
Museum Purna Bhakti Pertiwi,,09:00,16:00,Sabtu
Museum Purna Bhakti Pertiwi,,09:00,16:00,Minggu
Museum Pusaka,,09:00,16:00,Senin
Museum Pusaka,,09:00,16:00,Selasa
Museum Pusaka,,09:00,16:00,Rabu
Museum Pusaka,,09:00,16:00,Kamis
Museum Pusaka,,09:00,16:00,Jumat
Museum Pusaka,,09:00,16:00,Sabtu
Museum Pusaka,,09:00,16:00,Minggu
Museum Santa Maria Juanda,,08:00,13:00,Senin
Museum Santa Maria Juanda,,08:00,13:00,Selasa
Museum Santa Maria Juanda,,08:00,13:00,Rabu
Museum Santa Maria Juanda,,08:00,13:00,Kamis
Museum Santa Maria Juanda,,08:00,13:00,Jumat
Museum Santa Maria Juanda,,08:00,13:00,Sabtu
Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,,08:00,16:00,Selasa
Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,,08:00,16:00,Rabu
Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,,08:00,16:00,Kamis
Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,,08:00,16:00,Jumat
Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,,08:00,16:00,Sabtu
Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,,08:00,16:00,Minggu
Museum Satriamandala,,09:00,15:00,Selasa
Museum Satriamandala,,09:00,15:00,Rabu
Museum Satriamandala,,09:00,15:00,Kamis
Museum Satriamandala,,09:00,15:00,Jumat
Museum Satriamandala,,09:00,15:00,Sabtu
Museum Satriamandala,,09:00,15:00,Minggu
Museum Sejarah Jakarta,,09:00,15:00,Selasa
Museum Sejarah Jakarta,,09:00,15:00,Rabu
Museum Sejarah Jakarta,,09:00,15:00,Kamis
Museum Sejarah Jakarta,,09:00,15:00,Jumat
Museum Sejarah Jakarta,,09:00,15:00,Sabtu
Museum Sejarah Jakarta,,09:00,15:00,Minggu
Museum Seni Rupa dan Keramik,,09:00,15:00,Selasa
Museum Seni Rupa dan Keramik,,09:00,15:00,Rabu
Museum Seni Rupa dan Keramik,,09:00,15:00,Kamis
Museum Seni Rupa dan Keramik,,09:00,15:00,Jumat
Museum Seni Rupa dan Keramik,,09:00,15:00,Sabtu
Museum Seni Rupa dan Keramik,,09:00,15:00,Minggu
Museum Serangga,,09:00,16:00,Senin
Museum Serangga,,09:00,16:00,Selasa
Museum Serangga,,09:00,16:00,Rabu
Museum Serangga,,09:00,16:00,Kamis
Museum Serangga,,09:00,16:00,Jumat
Museum Serangga,,09:00,16:00,Sabtu
Museum Serangga,,09:00,16:00,Minggu
Museum Sumpah Pemuda,,08:00,16:00,Selasa
Museum Sumpah Pemuda,,08:00,16:00,Rabu
Museum Sumpah Pemuda,,08:00,16:00,Kamis
Museum Sumpah Pemuda,,08:00,16:00,Sabtu
Museum Sumpah Pemuda,,08:00,16:00,Minggu
Museum Tekstil,,09:00,15:00,Selasa
Museum Tekstil,,09:00,15:00,Rabu
Museum Tekstil,,09:00,15:00,Kamis
Museum Tekstil,,09:00,15:00,Jumat
Museum Tekstil,,09:00,15:00,Sabtu
Museum Tekstil,,09:00,15:00,Minggu
Museum Timor Timur,,08:30,16:00,Senin
Museum Timor Timur,,08:30,16:00,Selasa
Museum Timor Timur,,08:30,16:00,Rabu
Museum Timor Timur,,08:30,16:00,Kamis
Museum Timor Timur,,08:30,16:00,Jumat
Museum Timor Timur,,08:30,16:00,Sabtu
Museum Timor Timur,,08:30,16:00,Minggu
Museum Tragedi 12 Mei ’98 Universitas Trisakti,,09:00,15:00,Senin
Museum Tragedi 12 Mei ’98 Universitas Trisakti,,09:00,15:00,Selasa
Museum Tragedi 12 Mei ’98 Universitas Trisakti,,09:00,15:00,Rabu
Museum Tragedi 12 Mei ’98 Universitas Trisakti,,09:00,15:00,Kamis
Museum Tragedi 12 Mei ’98 Universitas Trisakti,,09:00,15:00,Jumat
Museum Transportasi,,08:00,16:00,Senin
Museum Transportasi,,08:00,16:00,Selasa
Museum Transportasi,,08:00,16:00,Rabu
Museum Transportasi,,08:00,16:00,Kamis
Museum Transportasi,,08:00,16:00,Jumat
Museum Transportasi,,08:00,16:00,Sabtu
Museum Transportasi,,08:00,16:00,Minggu
Museum Wayang,,09:00,15:00,Selasa
Museum Wayang,,09:00,15:00,Rabu
Museum Wayang,,09:00,15:00,Kamis
Museum Wayang,,09:00,15:00,Jumat
Museum Wayang,,09:00,15:00,Sabtu
Museum Wayang,,09:00,15:00,Minggu
Pusat Peragaan IPTEK,,08:30,16:00,Senin
Pusat Peragaan IPTEK,,08:30,16:00,Selasa
Pusat Peragaan IPTEK,,08:30,16:00,Rabu
Pusat Peragaan IPTEK,,08:30,16:00,Kamis
